Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,Gives_Dividends
PEG,Public Serv. Enterprise Inc.,Utilities,3.865560131017805,2.839663087904102,3.60587,1.75,41.67,53.28,23.907055284316844,22.00780428938869,1.4927120103151101,1.0577902941478545,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PEG,Yes
PSA,Public Storage,Real Estate,5.20120055576831,2.955430976780465,4.316159,6.81,180.9254,232.21,24.197048649567794,21.378089462306498,2.8428240715314064,2.0228711901914416,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PSA,Yes
PHM,Pulte Homes Inc.,Consumer Discretionary,3.3901364343027307,2.6290069937617573,1.2036108,1.44,21.06,35.21,22.89717315122368,20.716050872574908,0.7100802042832415,1.095273387402595,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PHM,Yes
PVH,PVH Corp.,Consumer Discretionary,4.96758860455389,3.090132948975475,0.100529455,6.77,84.53,157.96,23.163752527904045,20.779173469830333,1.0158653333662913,1.144222799920162,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PVH,Yes
QRVO,Qorvo,Information Technology,4.354783898280007,3.030616675407493,0.0,-0.13,62.68,85.24,23.013564271846004,20.508679320804532,1.4791337637940312,1.091923300517313,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=QRVO,No
QCOM,QUALCOMM Inc.,Information Technology,4.149779269110201,2.8627721462977607,3.5055351,1.65,48.92,69.28,25.2905558314716,22.156205206127954,1.6608262223075367,1.572773928062509,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=QCOM,Yes
PWR,Quanta Services Inc.,Industrials,3.541249137109912,2.919930560137709,0.0,1.28,30.23,40.105,22.396641693395242,20.2915655786858,0.5760145108697613,0.8878912573524571,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PWR,No
DGX,Quest Diagnostics,Health Care,4.579031528378397,2.8942531046041373,1.9884669,5.5,90.1,112.965,23.33173876722017,21.09689622222279,1.0192040435695096,1.3402504226184837,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DGX,Yes
RRC,Range Resources Corp.,Energy,2.626116818339524,3.600321427132145,0.6097561,-2.79,12.7,34.09,21.9036387325461,20.524930746389963,1.0860111939760408,0.4637340162321401,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RRC,Yes
RJF,Raymond James Financial Inc.,Financials,4.4665975361241514,2.88703285663065,1.0982976,4.12,71.35,99.1,23.30471461200342,0.0,1.0897247445236886,1.205970806988609,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RJF,Yes
